Corps,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,,
7th Regiment,,,,,,,,,,16.05,16.25,,16.28,,,,,,,,,,,,,,,,,,19.35,,,,,,18.75,19.2,19.75,,19.5,,,20.35,20.6,,,,,,,
BDB,,15.2,15.5,15.6,,,,,,,,,,,,17.3,17.45,,,,,,18.25,18.7,19.55,,,,,,,,,,,,20.25,20.8,21,,21.35,21.3,,22.7,22.8,,,,,,,
Blue Devils,,20.8,20.8,21.55,,,,,,22.8,23.3,,,,23.55,,23.9,,24.4,24.95,,,,,25.1,25.35,25.7,,,25.3,25.8,,26.3,,26.35,,26.9,27.26,,,27.5,,,28.03,,,,,,,,
Blue Knights,,19.65,19.6,19.65,,,,,19.8,20.35,20.85,,,,21,,21.7,,21.45,,,,22.45,22.9,23.05,,,23.4,23.9, ,24.2,,24.95,25.23,,25.3,25.2,25.16,,22.85,25.8,,26.25,26.4,,,,,,,,
Blue Stars,,,18.45,,17.55,19.65,19.65,,20.95,19.28,20.85,,,21.3,,,21.8,21.85,,,,22.8,22.65,22.5,,22.7,,23.1,23.55,,24.39,,,24.15,24.95,,24.75,25.4,,,25.25,25.7,,,26.43,,,,,,,
Bluecoats,20.5,,21.6,,21.3,21.75,,22.15,,22.55,23.2,,,,,23.45,23.9,,24.7,24.6,,,24.8,25.15,25.1,23.25,,,25.45,25.55,26.38,,26.4,,26.7,,27.1,27.46,27.4,27.45,,,28,28.3,,,,,,,,
Boston Crusaders,18,,18.3,,18.15,18,,18.45,,19.85,19.85,,19.95,,,20.45,20.65,,20.95,21.65,,,21.45,21.58,,21.9,,,22.75,,22.54,,22.9,,23.15,,22.75,23.35,,,24.45,,25.65,,25.23,,,,,,,
Carolina Crown,20.55,,21.08,,21.6,,,,23.15,22.28,23.7,,,23.55,,23.4,23.4,23.9,23,,,,,24.98,25.15,24.95,25.65,,25.35,25.3,26.29,,,26.35,,,27.03,27.3,,,27.15,27.65,27.95,,28.41,,,,,,,
Cascades,,,,,,,,,16.85,16.95,,,16.5,17.1,17.25,16.95,18.4,,17.45,,,,,,,,,19.45,18.4,,19.08,,,19.8,,,20.5,20.85,,21.5,,,,21.95,,,,,,,,
Colt Cadets,,,10.35,9.83,,,,,,11.78,16.65,,13.88,15.3,,,14.7,,14.9,15,,14.75,,14.5,15.53,,,,,,,,,,16.5,,16.13,16,16.95,,16.58,,,17.48,17.98,,,,,,,
