Corps,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,
7th Regiment,,,,,,,,,,16.5,16.1,,16.8,,,,,,,,,,,,,,,,,,18.15,,,,,,18.45,19,,,,,,,,,,,,,,
BDB,,14.8,14.65,15.8,,,,,,,,,,,,16.95,16.95,,,,,,18.6,19.05,19.45,,,,,,,,,,,,21.15,20.3,,,,,,,,,,,,,,
Blue Devils,,20.75,21.2,21.55,,,,,,22.3,23.05,,,,24.45,,24.55,,24.35,24.5,,,,,25.5,25.4,25.85,,,26.05,25.75,,26.5,,26.75,,27.45,27.48,,,,,,,,,,,,,,
Blue Knights,,18.6,17.65,18.5,,,,,19.3,19.55,19.7,,,,20.55,,21.45,,21.7,,,,22.55,22.95,22.25,,,23,23.6,,23.35,,23.85,24.25,,24.95,25.15,25.48,,,,,,,,,,,,,,
Blue Stars,,,19.58,,19.88,19.65,20.25,,20.85,19.65,20.78,,,21,,,20.3,20.65,,,,22.05,22.5,23.3,,22.55,,22.75,23.25,,23.3,,,24.3,24.35,,24.9,25.48,,,,,,,,,,,,,,
Bluecoats,20.3,,20.85,,21.82,21.83,,22.1,,22.45,21.55,,,,,23.55,23.7,,24.15,24.25,,,24.9,24.95,25.25,25.4,,,25.5,26,25.575,,26.1,,27.1,,27.2,27.25,,,,,,,,,,,,,,
Boston Crusaders,17.35,,19.05,,19.13,18.9,,19.7,,20.2,19,,20.1,,,20.45,20.4,,20.95,21,,,21.55,21.55,,22.15,,,22.2,,22.5,,23.45,,23.3,,23.35,23.6,,,,,,,,,,,,,,
Carolina Crown,20.55,,21.3,,19.88,,,,23,20.85,22.28,,,22.95,,,23.2,23.55,23.65,,,,,25.25,25.2,25.5,25.8,,25.95,25.95,25.7,,,26.45,,,26.78,36.35,,,,,,,,,,,,,,
Cascades,,,,,,,,,15.4,16.6,,,17.25,17.55,17.1,18,17.8,,18.05,,,,,,,,,19.7,19.75,,19.2,,,19.55,,,21.15,21,,,,,,,,,,,,,,
Colt Cadets,,,12.75,12.15,,,,,,12.6,13.5,,11.55,11.55,,,15.45,,14.8,15,,15.8,,14.9,16.05,,,,,,,,,,12.9,,14.85,16,,,,,,,,,,,,,,
Colts,,,18.53,18.6,18.3,,18.75,,19.4,18.6,19.35,,,20.25,,,18.8,,,19.95,20.63,20.05,,20.65,21.15,,,21.7,21.4,,21.45,,,22.05,,,23.35,23.28,,,,,,,,,,,,,,
Crossmen,,,18.45,,19.28,18.9,,20,,20.35,19.5,,20.1,,,21,21.4,,21.7,21.7,,,22.15,22.3,,,,22.6,22.55,23.9,23.2,,23.85,,24.05,24.6,,24.65,,,,,,,,,,,,,,
Genesis,,,,17.55,,16.65,15.75,,16.55,12.75,,,13.8,,,,,17.2,,,,17.35,18.6,18.05,,,18.8,,19.95,,20.05,,19.5,,20.1,,18.9,19.4,,,,,,,,,,,,,,
Gold,,,,,,,,,14.7,15.2,15.6,,,,16.8,,16.9,,,,,,,16.45,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,,,,18.15,18.45,,,,,,,,,,,,,,,,,,
Impulse,,,,,,,,,13.95,13.35,13.75,,,,,,,,,,,,13.7,14.7,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Surf,,,,,,,,17.05,,17.9,,,,,,16.25,16.95,,17.65,17.7,,,17.3,18.25,,19.5,,,19.15,,19.3,,,,19.4,19.35,,20.2,,,,,,,,,,,,,,
Legends,,,,,,17.33,16.2,,16.55,13.8,,,,,,15.55,16.3,,16.7,17.35,,,16.6,16.8,,,,,,,18.6,,,,,,19.05,20.25,,,,,,,,,,,,,,
Louisiana Stars,,,,,,,,,,,,,,,,,,,,,,,14.8,15.15,,,,,,,17.55,,,,,,,,,,,,,,,,,,,,,
Madison Scouts,,19.1,19.5,19.65,,,,,19.8,20.55,20.8,,21,,20.25,,,21.3,,,,,22.7,22.95,22.35,22.6,,,22.7,,22.95,,,,23.65,,25.13,24.6,,,,,,,,,,,,,,
Mandarins,,16.75,16.65,17.9,,,,,17.65,18.75,19.2,,,,,18.4,18.7,,,,,19.8,,20.3,,20.95,20.9,,20.65,,21.4,,,,22.6,,22.75,23.05,,,,,,,,,,,,,,
Music City,,,,,,,14.7,,,,15.38,,12.9,,,,,16,16.2,,,,16.25,16.95,,,,,,,,,,,,,19.35,,,,,,,,,,,,,,,
Oregon Crusaders,,,,,,,,,16.9,17.55,,,18.08,18.3,18.15,18.75,18.8,,18.95,,19.2,18.7,,19.7,20.25,,,20.95,20.9,,20.7,,,,21.45,,22.3,21.65,,,,,,,,,,,,,,
Pacific Crest,,16.1,16.6,18,,,,,18.75,17.8,18,,17.85,,16.65,,17.95,18.65,18,,,19.95,,20.3,,20.85,20.7,,20.65,,19.9,,,20.85,20.75,21.55,,21.3,,,,,,,,,,,,,,
Phantom Regiment,18.2,,20.1,,,19.95,,20.25,,21.05,19.6,,22.2,,,,21.7,,22,,,23.33,,23,23.25,23.35,,,23.55,23.95,23.85,,24,24.35,,,24.88,24.88,,,,,,,,,,,,,,
Pioneer,,,16.28,16.65,,13.8,13.95,,14.45,,16.28,,,16.8,,,16.7,16.95,,,,17.25,17.8,17.95,18.45,18.05,,18.65,,,,,,19.4,19.9,,20.1,20,,,,,,,,,,,,,,
Raiders,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85,17.8,,,,,,,,,,,,,,
River City Rhythm,18.2,,,,,,,,,,,,11.1,10.65,,,,,,,,,16.35,15.15,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,
Santa Clara Vanguard,,20.1,20.3,20.8,,,,,21.05,21.65,,,22.58,22.88,23.4,,23,,,23.35,23.85,23.4,,24.35,24.35,24.5,,,25,25.3,24.95,,,,,,26.4,26.78,,,,,,,,,,,,,,
SCVC,,14.6,14.35,14.65,,,,,,,,,,,,16.7,17.5,,,,,,18.3,19.05,19.1,,,,,,,,,,20.7,,20.7,20,,,,,,,,,,,,,,
Shadow,,,,,,,,,,,,,,,,,,14.65,14.5,,,,,,,,,,,,,,,,14.4,,16.95,,,,,,,,,,,,,,,
Spartans,,,,,,,,,15.5,17.3,16.5,,16.2,,,,,,,,,,,,,,,,,,18.9,,,,,,18.9,20.05,,,,,,,,,,,,,,
Spirit of Atlanta,,,,,,,,,,,,,,,,16.25,16.95,,17.65,19.15,,,19.4,19.6,,,20.1,20.5,20.25,,20.75,,,20.75,21.65,21.4,21.8,22.1,,,,,,,,,,,,,,
The Academy,,17.85,17.45,18.55,,,,,18.3,19.3,19.8,,19.8,,19.8,,19.65,20.25,20.65,,,21.05,,21.35,21.9,,22.4,,22.55,,22.2,,,24.1,23.95,23.8,,24.65,,,,,,,,,,,,,,
The Cadets,19.35,,20.7,21,,21.15,,21.4,,21.9,20.95,,22.8,,,22.85,23.05,,23.25,23.7,,,24.15,24.05,23.7,24.45,,24.3,24.95,24.65,24.78,,,,25.3,,25.9,26.33,,,,,,,,,,,,,,
The Cavaliers,19.25,,20.48,20.85,,21.38,21.9,,22.15,20.7,21.83,,,,,22.05,22.95,,23.4,,23.78,23.15,,24.05,24.2,24.1,,,24.7,24.95,24.85,,,25,25.7,26.05,,26.35,,,,,,,,,,,,,,
Troopers,,,18.6,19.2,,19.13,19.2,,19.95,17.55,19.28,,,,,19.8,19.95,,20.05,20.1,20.55,,,20.35,,20.55,20.95,,22.1,,21.48,,21.65,22.45,22.55,23.15,,23.08,,,,,,,,,,,,,,
